id	TCGA-BA-4076	TCGA-BA-4078	TCGA-BA-5555	TCGA-BA-6868	TCGA-BA-6869	TCGA-BA-6870	TCGA-BA-A6DI	TCGA-BB-4217	TCGA-CN-4722	TCGA-CN-4723	TCGA-CN-4727	TCGA-CN-4735	TCGA-CN-4738	TCGA-CN-4739	TCGA-CN-5355	TCGA-CN-5356	TCGA-CN-5360	TCGA-CN-5361	TCGA-CN-5363	TCGA-CN-6010	TCGA-CN-6012	TCGA-CN-6021	TCGA-CN-6022	TCGA-CN-6023	TCGA-CN-6988	TCGA-CN-6989	TCGA-CN-6992	TCGA-CN-6997	TCGA-CN-A497	TCGA-CN-A49B	TCGA-CN-A63T	TCGA-CN-A63U	TCGA-CN-A63W	TCGA-CN-A641	TCGA-CN-A6V3	TCGA-CR-6474	TCGA-CR-7364	TCGA-CR-7370	TCGA-CR-7371	TCGA-CR-7374	TCGA-CR-7388	TCGA-CR-7389	TCGA-CR-7398	TCGA-CR-7399	TCGA-CR-7402	TCGA-CV-5430	TCGA-CV-5431	TCGA-CV-5432	TCGA-CV-5434	TCGA-CV-5435	TCGA-CV-5440	TCGA-CV-5441	TCGA-CV-5443	TCGA-CV-5444	TCGA-CV-5978	TCGA-CV-6935	TCGA-CV-6962	TCGA-CV-7089	TCGA-CV-7101	TCGA-CV-7177	TCGA-CV-7242	TCGA-CV-7245	TCGA-CV-7247	TCGA-CV-7248	TCGA-CV-7250	TCGA-CV-7261	TCGA-CV-7410	TCGA-CV-7415	TCGA-CV-7418	TCGA-CV-7421	TCGA-CV-7422	TCGA-CV-7424	TCGA-CV-7430	TCGA-CV-7433	TCGA-CV-7437	TCGA-CV-7440	TCGA-CV-A45W	TCGA-CV-A45Y	TCGA-CV-A45Z	TCGA-CV-A460	TCGA-CV-A461	TCGA-CV-A6K1	TCGA-D6-6517	TCGA-D6-6824	TCGA-D6-6826	TCGA-D6-8568	TCGA-D6-A6EK	TCGA-D6-A6EQ	TCGA-D6-A74Q	TCGA-DQ-5629	TCGA-F7-7848	TCGA-F7-8298	TCGA-F7-A50I	TCGA-F7-A622	TCGA-F7-A623	TCGA-HD-7229	TCGA-KU-A66S	TCGA-QK-A8Z8	TCGA-QK-A8ZB	TCGA-QK-AA3J	TCGA-T3-A92M	TCGA-TN-A7HJ	TCGA-UF-A718	TCGA-UF-A71D	TCGA-UF-A7J9	TCGA-UF-A7JF	TCGA-UF-A7JH	TCGA-UF-A7JJ	TCGA-UF-A7JK
ACIN1	11.2888	11.2632	11.5536	11.3053	11.4074	11.4658	11.6062	11.3365	11.0371	11.9862	11.0109	10.85	11.7701	11.3711	11.2286	11.965	11.3975	11.1524	11.6086	11.4962	12.2067	11.9465	11.5306	11.5204	11.717	11.9414	11.8679	12.9374	11.4902	11.545	11.6797	11.7647	11.7533	11.497	11.6877	10.7118	11.1834	11.9341	11.1927	12.0375	11.4824	10.881	11.5008	10.5618	11.3337	11.9439	11.5209	12.515	11.8022	11.1292	11.1266	11.7146	11.5483	11.2831	11.3213	10.4939	11.533	11.5795	11.4119	10.5982	11.5445	11.4345	11.3549	11.8488	11.512	12.2216	11.4192	11.349	11.6372	11.1891	11.6566	11.748	11.6688	11.3205	11.1939	11.5827	11.933	11.6145	11.1376	11.2261	11.3964	11.1324	11.1662	11.1577	11.4875	11.5759	11.0265	11.3814	12.0285	11.3786	11.534	11.9736	11.9295	11.4339	11.5734	11.2185	11.8366	11.4678	11.5319	11.3639	11.91	11.6938	11.5359	11.5112	11.6239	10.997	12.202	11.5077	12.275
AGGF1	9.77	9.3041	9.0921	8.2703	9.0845	9.45	9.3921	9.3665	9.4878	9.334	8.6528	9.4937	9.3807	9.2524	9.3582	9.5155	9.2134	9.3696	9.7157	9.418	9.0629	9.0864	9.6897	9.6145	9.4329	9.7536	9.1513	9.0802	9.384	9.4194	8.7694	9.2011	8.905	9.8545	9.7204	8.9472	9.5008	9.5191	9.4412	10.3164	9.8916	9.6848	9.2241	9.5184	9.8896	9.0776	9.1076	9.1384	8.6012	8.1117	8.8999	9.0249	9.7863	9.2842	9.6679	9.5901	9.2899	9.3467	9.3893	9.111	8.9753	8.8515	9.5518	9.422	9.6287	9.2616	9.9198	9.4138	9.0543	9.1095	8.8864	9.91	8.6151	9.1968	10.18	9.4415	9.0093	9.3427	8.9673	8.9075	9.0822	8.3828	9.8702	9.8485	10.1443	9.161	8.9227	8.6411	8.3175	9.453	9.4253	9.6226	8.3335	8.7346	9.8618	9.6415	9.9545	10.0603	8.9249	9.0901	9.3626	9.9396	9.6707	8.7243	8.9863	8.7058	9.2088	9.1814	9.2294
AQR	10.0157	10.2737	10.0461	9.4103	8.8644	9.9326	9.7388	11.0181	10.3321	10.3643	9.9784	10.0258	10.4089	10.5087	10.6481	11.0279	10.1854	10.2894	9.7913	9.888	9.8491	10.1504	10.1663	9.5658	10.528	9.753	10.7765	9.4602	9.9764	9.6258	9.6875	10.6677	9.4556	9.7721	9.9335	9.849	10.9824	10.5913	10.3293	10.5969	9.9894	10.0882	11.1201	10.2912	9.5503	10.0187	10.0208	10.1483	10.1286	9.6657	9.7841	9.9807	9.7815	9.8971	10.0814	9.3056	9.7654	9.8559	10.7169	10.3165	9.7499	10.3497	10.2032	10.2698	10.2578	9.4444	10.2602	10.174	10.6514	9.9294	10.4903	10.4069	10.7934	10.1619	10.013	10.5999	9.6025	9.3055	10.0733	9.1715	9.4337	8.3521	9.2275	10.2696	10.3665	10.311	8.2131	8.7081	9.4066	10.5379	10.9314	10.0195	9.4826	9.9225	10.3742	10.3394	9.8244	10.5584	10.7519	10.2484	9.2375	10.4621	9.3369	10.5117	9.7117	9.1235	10.0176	9.615	10.6065
ARGLU1	10.1336	10.544	8.7912	10.2871	9.0888	9.7678	10.8391	10.592	9.3617	10.2839	9.379	10.6258	10.4047	10.0345	9.2793	9.3639	10.0335	9.2834	8.4589	9.6078	9.9626	8.6525	9.7505	9.6091	10.1649	10.1463	10.6227	11.0358	10.0648	10.5444	9.9486	11.4068	10.6823	10.5888	10.4089	8.7548	8.2906	10.8155	9.7503	10.3299	10.7118	9.0767	11.5223	9.523	9.6134	9.5495	9.8488	9.6695	9.717	10.0502	10.2795	8.7794	10.1746	9.1331	9.4325	9.0672	8.7187	10.0657	9.6973	8.166	9.9899	8.9201	9.4355	9.4367	9.8011	9.6067	10.3738	8.8752	10.2152	8.311	9.3405	10.891	9.9534	8.6854	9.3318	9.4172	10.7467	10.2771	10.5925	10.7931	9.807	10.7335	9.5956	9.6325	10.7102	10.1109	9.6463	9.9321	10.4279	10.0415	9.5717	10.5868	10.3106	10.1989	10.7868	10.0926	11.2604	9.8916	11.0906	11.075	10.3927	10.8334	9.5831	10.0273	10.9341	10.1445	11.32	10.8484	9.7158
BAG2	7.2491	7.4918	9.683	8.36	6.3048	6.0908	7.7273	8.362	6.3243	8.2331	8.8106	8.465	5.9658	6.4466	7.4913	7.1964	7.0431	8.7304	8.6299	7.9569	6.9287	6.1232	9.1328	9.8029	5.9382	8.281	7.2904	8.6172	8.9137	7.3211	8.0187	9.3224	8.2538	6.5661	8.2902	8.3157	7.8218	8.4162	6.2753	8.8324	6.9356	5.8775	8.2803	9.2324	6.6096	4.9845	8.1337	8.0186	8.3887	8.7544	8.2174	8.7325	6.8403	8.2503	8.3029	8.1423	7.4599	4.7032	8.3779	7.3092	7.1426	7.6657	8.5993	7.2082	6.5314	8.9327	7.5318	7.3485	8.9629	9.0495	9.3599	6.0679	5.4354	8.2284	8.6582	9.2935	8.3466	7.1622	6.8348	6.4774	7.9799	8.398	6.9032	7.4433	6.4634	8.9089	4.415	6.5377	6.8821	8.6322	7.7564	8.3512	7.5093	8.9836	5.8958	6.5747	10.5333	8.8775	7.5112	7.462	7.4746	6.6984	8.69	5.4717	8.3575	5.8681	8.0126	7.9647	8.0039
BCAS1	5.2576	4.9424	6.9961	4.954	6.8198	5.1356	9.9212	7.1788	7.0031	6.1801	1.7648	2.3745	8.7727	12.3574	5.6109	5.0605	8.367	2.9286	3.5346	7.2068	8.3641	7.3477	6.6582	4.15	10.5008	4.1227	4.6488	2.2328	3.8393	6.7261	7.4683	5.1174	5.426	4.611	8.1566	4.938	10.3878	6.9423	8.3058	5.5424	6.4918	8.0982	1.9243	5.272	6.04	8.2482	3.2523	5.3655	3.2448	4.4976	5.0677	4.9088	5.9248	5.7004	2.8019	6.8647	4.1285	7.3417	8.8577	6.732	9.4611	7.0745	5.6326	6.3449	6.9808	6.2756	6.7941	4.7668	5.2477	9.3113	5.8487	11.3199	8.0956	6.4079	4.3844	5.5814	6.313	5.5471	6.4035	5.5549	8.1473	2.1769	4.7865	10.5951	6.4634	7.9237	6.1732	4.6479	8.2278	4.3561	7.6161	4.2599	9.3665	5.578	3.2564	6.5543	3.7996	8.3608	7.3439	11.1136	1.2434	8.4145	6.9631	4.5287	5.9177	10.0792	6.1632	9.5362	5.7497
BCAS2	8.9869	9.811	9.6204	9.5648	10.1884	9.1879	9.6883	9.3758	8.615	8.3936	9.5118	9.3197	8.9787	9.2529	8.9615	8.8874	8.4461	8.765	9.5845	8.9162	8.8692	9.3852	8.1824	9.4174	9.347	9.7031	8.6358	8.7823	9.4954	10.0016	9.782	10.1408	10.0107	10.0186	9.0503	9.5214	9.7499	9.1745	8.9531	9.3187	9.22	8.7985	9.5953	8.4728	9.3767	8.6622	9.0981	9.8106	9.1057	9.1566	8.802	9.9408	9.2359	9.4389	8.9759	8.9146	9.4608	9.7387	9.4185	9.3331	8.4091	8.8441	9.4741	9.5611	9.3125	9.2598	9.5501	9.8334	9.4717	9.1281	10.5177	9.4255	9.9711	8.8126	9.4502	9.3531	9.2397	8.8773	9.7565	9.9075	9.0337	9.6832	9.4531	9.4114	9.3617	9.7248	9.4626	9.5583	9.724	8.9776	9.8702	9.3388	8.9578	9.8646	8.6267	9.4128	10.3646	9.1315	9.1973	9.7054	9.4302	9.7272	9.1957	9.3971	8.9274	9.9612	9.9405	9.2877	9.2041
BUB3	11.7396	10.5382	10.9184	11.2801	10.9986	11.4332	10.6515	11.41	10.7676	11.2124	11.0646	11.5138	10.7498	10.8163	11.133	10.7602	10.1367	10.9292	11.4868	10.763	10.7226	10.0662	11.0927	11.2959	11.0916	10.9058	10.5916	11.3851	11.2216	11.417	11.4373	10.8638	11.6259	11.7337	11.3405	10.6471	10.6132	10.5239	11.0032	10.8936	11.3035	10.2432	11.2046	11.2211	11.2332	10.3971	10.4883	10.8031	10.7617	10.86	10.8369	11.3423	11.6525	10.8258	10.4781	10.7388	10.4263	11.2446	10.7815	10.6555	11.3337	11.1037	11.2468	10.6213	11.0263	10.8674	11.1144	11.1944	11.2464	10.7784	11.4586	10.5464	11.707	11.0622	10.5675	11.6423	10.6373	11.1223	11.0996	11.4275	10.8577	11.3952	11.5202	10.2626	11.6572	11.2519	11.0519	10.7971	11.2511	11.264	11.1217	11.3448	10.6898	11.3131	10.9988	11.6429	11.8532	11.1088	11.093	11.0957	11.2673	10.7927	10.3173	11.3524	10.7026	10.9641	11.1384	10.6846	10.952
BUD13	8.1515	9.0263	8.4537	8.2967	8.8324	7.6423	8.7645	8.9141	8.4821	9.0182	7.8622	8.7954	8.7003	8.8637	9.2893	9.0141	8.895	7.9715	8.5543	8.8001	8.4248	8.3599	8.9243	8.6345	8.7166	8.6779	8.398	9.2443	8.6328	8.218	8.8424	9.1034	9.1599	9.1581	8.8748	8.0708	8.5486	8.4199	8.4997	9.549	8.2165	8.1921	9.446	8.9177	9.0986	9.5123	8.8029	7.9506	9.4267	8.96	8.5198	7.8487	8.6598	8.7364	8.9268	7.6257	8.7027	8.7471	8.8961	7.7679	9.06	8.193	8.5426	9.0512	8.4226	9.3995	8.7178	8.4765	8.4241	7.5616	8.1554	8.5978	8.9438	8.4001	8.0196	9.1776	8.5812	8.6162	8.9334	8.6347	9.0385	9.2519	8.5354	8.5633	9.0389	8.6323	8.5696	9.1528	8.9308	8.7626	8.3006	8.5811	8.0088	9.6513	8.9721	9.2295	9.0365	8.8094	8.6575	8.7551	8.5411	8.4958	9.2245	9.1174	8.9323	9.049	8.7536	8.7412	8.7032
BUD31	11.0829	10.2694	9.8851	11.5799	10.5537	10.5782	10.2013	10.7603	10.306	9.7626	11.1294	11.3272	9.8916	10.2444	9.8715	9.8762	10.3077	10.0875	10.4111	10.318	10.2005	10.0407	9.9845	10.329	10.3645	10.3426	10.3449	10.5125	9.9923	11.8759	10.9354	11.1489	10.6105	11.2009	9.705	9.8145	10.0614	9.9607	10.0637	9.442	10.6931	9.8868	9.5928	11.6971	10.1645	10.0176	11.5372	10.9404	10.5191	10.3278	10.3196	10.4949	10.4304	11.0032	10.2602	10.2344	11.4761	10.5013	10.2332	10.5098	10.133	10.2341	12.9639	10.5441	10.0965	10.782	10.0486	9.8451	10.8988	11.7742	10.8125	9.9672	10.5356	10.9774	10.0742	9.9504	10.1187	10.1936	10.8498	10.9218	10.3959	12.3187	10.1965	9.6474	10.2725	9.9455	12.1577	11.6482	11.4973	10.9617	10.1633	10.3603	10.5437	11.1411	10.6926	9.7843	10.8844	10.0847	10.4515	11.5394	10.7889	10.47	10.3522	10.2879	10.3491	11.1222	10.5614	11.3749	9.901
