SF	AS	cor	pvalue	Regulation
BAG2	GLB1-63827-AP	-0.414194455409109	7.56104493661037e-06	negative
CELF2	ST6GAL2-54866-AT	0.418229400039875	6.03046346275949e-06	postive
CELF2	ST6GAL2-54867-AT	-0.419669944906776	5.55869044565337e-06	negative
CELF6	TOP3B-61266-RI	0.548667785878371	6.55289412845617e-10	postive
CELF6	SYT8-13859-RI	0.491135214401449	5.88397466142066e-08	postive
CELF6	FXYD3-49036-AA	0.555544250749531	3.61021072659427e-10	postive
CELF6	ACAA1-64017-AD	0.489302810713411	6.70088546725515e-08	postive
CELF6	ULK3-31757-RI	0.639173877246071	7.46282158124602e-14	postive
CELF6	RABGGTB-3514-ES	0.439731369795349	1.71796785878668e-06	postive
CELF6	XAF1-38812-AA	0.451869494442073	8.13355693270146e-07	postive
CELF6	RPS21-60075-AA	0.463754356491985	3.80145692629209e-07	postive
CELF6	UNC119-39915-RI	0.422329011061173	4.77792934397711e-06	postive
CELF6	RELL2-73812-RI	0.485411399640297	8.80942511935583e-08	postive
CELF6	SRSF6-59434-ES	0.473120686762266	2.04495403473918e-07	postive
CELF6	FAM73B-87818-AD	0.513955478394265	1.09156671025828e-08	postive
CELF6	NPDC1-88260-AP	0.577531965317989	4.88459701237437e-11	postive
CELF6	CNKSR1-1236-RI	0.461422915129452	4.42321526361066e-07	postive
CELF6	ALS2CL-64461-RI	0.548052509464711	6.90738473263416e-10	postive
FAM50B	TCEA2-60186-AP	-0.408007490420797	1.06356017635177e-05	negative
MBNL3	ENTPD5-28354-AT	-0.425109090260205	4.07301846966293e-06	negative
MBNL3	DDX19A-37382-ES	-0.529405999393103	3.24560983964685e-09	negative
MSI1	AKIP1-14280-RI	0.411995054504468	8.54269648999469e-06	postive
SEC31B	TOP3B-61266-RI	0.683942868442156	2.47037823557384e-16	postive
SEC31B	SYT8-13859-RI	0.653502226110086	1.33175192903404e-14	postive
SEC31B	FXYD3-49036-AA	0.680252270410338	4.10948364448371e-16	postive
SEC31B	ACAA1-64017-AD	0.730346059341753	2.03030601348124e-19	postive
SEC31B	APBB3-73680-AD	0.482513919856436	1.07761252452261e-07	postive
SEC31B	ADPRM-39284-AD	0.44308262971318	1.40154322130595e-06	postive
SEC31B	TRIM13-25921-RI	0.447902143499447	1.04184115978094e-06	postive
SEC31B	ULK3-31757-RI	0.770763721857638	1.11784715526235e-22	postive
SEC31B	IP6K2-64759-AD	0.421032956627337	5.14455978444542e-06	postive
SEC31B	RABGGTB-3514-ES	0.625451051721572	3.5797688934687e-13	postive
SEC31B	XAF1-38812-AA	0.628503230841317	2.54276844328487e-13	postive
SEC31B	RPS21-60075-AA	0.625870981434308	3.41596666167199e-13	postive
SEC31B	UNC119-39915-RI	0.531925171204188	2.64777885032202e-09	postive
SEC31B	RELL2-73812-RI	0.660955127848041	5.23567988186403e-15	postive
SEC31B	ENTPD5-28354-AT	0.620570846534742	6.13797840349601e-13	postive
SEC31B	SRSF6-59434-ES	0.647148152127298	2.89236894822591e-14	postive
SEC31B	FAM73B-87818-AD	0.690752723063814	9.46884937550042e-17	postive
SEC31B	IL11RA-86209-AP	0.438295144114468	1.87333802071733e-06	postive
SEC31B	NPDC1-88260-AP	0.740096729582335	3.77414708713344e-20	postive
SEC31B	CNKSR1-1236-RI	0.493632765802523	4.92243775228906e-08	postive
SEC31B	DDX19A-37382-ES	0.417910050233134	6.1400449026973e-06	postive
SEC31B	ALS2CL-64461-RI	0.638182431205099	8.38003608004592e-14	postive
SEC31B	COX7C-72714-RI	0.52401704552477	4.98907476282571e-09	postive
